time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis,Remaining Time
1,1,0,0.5477225575051661,-0.6085806194501595,-3.3333333333337323,181
2,2,0,2.3874672772626644,2.042831342194583,4.422899353647277,180
3,1,1,2.5099800796022267,0.8284388773693386,-1.2169312169312245,179
4,2,0,2.1213203435596424,0.5237828008789188,-0.9629629629629122,178
5,2,1,1.816590212458495,-0.2669003066973065,1.0743801652892995,177
6,7,2,1.3416407864998738,0.16563466500000576,-2.4074074074085203,176
7,5,1,1.0954451150103321,1.2932338163316686,2.9166666666662806,175
8,4,2,1.140175425099138,0.4047960089109894,-0.1775147929007884,174
9,5,2,1.0000000000000004,1.1842378929335067e-13,-3.0000000000052225,173
10,7,7,1.0000000000000004,1.1842378929335067e-13,-3.0000000000052225,172
11,5,5,2.073644135332773,1.4467284665112217,1.9307733910222709,171
12,6,4,1.8708286933869718,1.1454053224818324,1.9999999999998874,170
13,7,5,3.8987177379235867,1.22003675749601,1.2474030470912798,169
14,5,7,5.118593556827893,0.19238347672944991,-2.301439310063549,168
15,10,5,4.301162633521316,-0.7540387377977565,-1.6815193571949258,167
16,7,6,8.671793355471522,0.9932238421547688,2.414872397012156,166
17,15,7,6.610597552415366,1.4684139738567938,1.6629400583340477,165
18,17,5,8.154753215150047,0.3688056177353104,-2.6537396121883496,164
19,16,10,7.402702209328701,-0.7792084582185872,-1.0988198625395864,163
20,31,7,5.366563145999498,-1.1846760609958946,1.7267071759238573,162
21,22,15,5.899152481501052,-0.2138433032253561,-2.0972057074877974,161
22,34,17,4.711687595755901,-1.0688391226470915,-0.040175310449498625,160
23,30,16,6.496152707564688,-0.24878013446245997,-0.4378832461043795,159
24,36,31,7.797435475847173,-0.14575473710753412,-2.291756838641941,158
25,25,22,7.854934754662195,0.8434962207224087,-1.4511320264042702,157
26,36,34,7.854934754662195,0.8434962207224087,-1.4511320264042702,156
27,42,30,7.328028384224507,1.9801017852084333,4.098810898536395,155
28,24,36,3.911521443121594,1.376860895011507,2.1004741766009367,154
29,27,25,3.911521443121594,0.29408679310896907,-2.5131359733342626,153
30,25,36,5.128352561983238,-0.17126884035016815,-1.16858708380855,152
31,28,42,5.98331012066064,0.45097512379123356,0.3403451827329948,151
32,34,24,8.648699324175864,1.0958032383876042,0.4125439675152999,150
33,33,27,8.234075540095564,0.00465724201935953,-1.0328399509231947,149
34,38,25,9.581231653602789,0.46000426320434745,-0.2273342161792987,148
35,44,28,7.765307463326874,-0.06428216976083505,-1.7657153700875945,147
36,54,34,5.630275304103702,-0.1748097697143722,0.0912537690904962,146
37,48,33,7.949842765740718,-0.1486774091195633,-0.19222680659205574,145
38,63,38,5.549774770204647,0.9266785330586087,0.1298701298432725,144
39,59,44,5.549774770204647,1.8814382337844466,3.7729802665272345,143
40,55,54,5.549774770204647,1.8814382337844466,3.7729802665272345,142
41,69,48,7.1554175279993295,0.5437313734353622,1.9055175781098797,141
42,57,63,7.1554175279993295,0.5437313734353622,1.9055175781098797,140
43,57,59,9.055385138137419,-0.16160711132896347,-1.4741225461081484,139
44,59,55,9.055385138137423,-1.1312497793032292,0.23914336703883757,138
45,49,69,8.820430828479987,-1.9707692013066687,4.110500194961777,137
46,69,57,1.9493588689618577,0.08099829092893232,-0.8171745071701674,136
47,71,57,5.805170109480012,-1.6316162852080054,3.0745185747201966,135
48,67,59,5.594640292279762,-0.5961890460388121,-2.168338964389958,134
49,66,49,5.2249401910452695,0.09534434461509317,-1.4978062230862956,133
50,69,69,7.382411530116713,1.4128154559693077e-13,0.48497601211064634,132
51,56,71,5.630275304103716,-0.021290933490692453,-2.3328921573411243,131
52,59,67,6.220932405998331,0.7198336010514871,-2.556136450108776,130
53,62,66,5.718391382198336,1.1642246760978319,-0.06761495945449407,129
54,49,69,7.314369419163909,1.5141108850918448,1.7204996069610499,128
55,50,56,7.15541752799934,1.5468502476189359,1.8952178954883554,127
56,49,59,7.314369419163909,1.5141108850918448,1.7204996069610499,126
57,56,62,6.7823299831252815,1.3221697155192478,1.7849716446244663,125
58,66,49,8.043631020876093,1.4013602439327115,2.252149380454668,124
59,50,50,3.209361307176272,-0.15428167279150837,1.6938448485831863,123
60,49,49,5.683308895353142,-0.6749436610476216,0.34094067804872336,122
61,54,56,5.890670590009266,0.24803544495322383,-1.0400385353353379,121
62,45,66,4.393176527297763,0.8208679059835856,0.09584149912055295,120
63,50,50,6.204836822995436,0.502331198353316,-2.385225164442687,119
64,39,49,6.107372593840992,1.7620333353708766,3.1048163934101987,118
