time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis,Remaining Time
1,1,0,1.224744871391589,1.3608276348795403,2.0000000000000404,140
2,2,0,1.0954451150103321,1.2932338163316497,2.9166666666666075,139
3,2,1,1.140175425099138,0.40479600891093936,-0.1775147928994715,138
4,1,0,1.5811388300841895,0.0,-1.1999999999999886,137
5,4,1,2.302172886644267,1.0326585393989924,1.1285154859381212,136
6,2,2,4.0620192023179795,0.8206099398622163,-0.42424242424241143,135
7,3,2,3.507135583350036,0.025499696884702532,-0.8744794765022176,134
8,5,1,4.9295030175464944,0.9358283599501516,0.9546308997611987,133
9,8,4,3.937003937005905,0.8603234409690216,0.5015608740897003,132
10,12,2,3.701351104664349,1.068854120479518,0.9361180670257632,131
11,9,3,3.741657386773941,1.2885809877920609,1.3112244897957634,130
12,18,5,3.563705936241092,1.3853578163699822,1.7837435674869677,129
13,13,8,3.1622776601683786,1.1858541225631423,1.0499999999999545,128
14,9,12,4.827007354458868,0.7255315075316274,-1.997273849214385,127
15,11,9,4.438468204234429,-0.36368700274333,-2.701177561905498,126
16,10,18,4.12310562561766,-1.7120161767270865,3.089965397924601,125
17,17,13,4.764451699828638,1.8242665690702005,3.624560926857972,124
18,20,9,4.6690470119715,0.691652448537113,-1.8176079454582847,123
19,18,11,4.604345773288535,-0.3759778610707597,-2.108846564617135,122
20,20,10,3.898717737923585,-1.1356635377523079,1.4551592797822412,121
21,29,17,3.701351104664349,1.0688541204794644,0.9361180670280499,120
22,26,20,3.701351104664349,1.0688541204794644,0.9361180670280499,119
23,26,18,3.701351104664349,1.0688541204794644,0.9361180670280499,118
24,30,20,3.3615472627943217,1.1688675578986611,2.0338319367148094,117
25,35,29,4.159326868617084,1.0923288177797992,1.6295232049153558,116
26,29,26,2.280350850198275,0.227697755011415,-2.507396449645159,115
27,26,26,2.607680962081059,-0.11842841739548281,0.26384083045907164,114
28,28,30,3.2710854467592254,-0.008571278138213506,-1.6097475762036915,113
29,24,35,2.9495762407505253,1.2353225899296967,2.5326991676627544,112
30,24,29,4.06201920231798,0.5222063253667774,0.8980716253469095,111
31,21,26,7.162401831787993,0.8317203013251352,-0.3056211027891062,110
32,29,28,7.516648189186454,-0.38851811456366064,-1.7277782128585575,109
33,23,24,8.0,-0.7763671875000218,-2.0222167968743854,108
34,18,24,7.6681158050723255,-2.1415650369573074,4.663334721642293,107
35,36,21,1.6733200530681502,-0.5122408325708377,-0.6122448981696174,106
36,34,29,1.4832396974191315,0.5516180692793881,0.8677685959675957,105
37,34,23,4.183300132670377,-1.536722497715649,2.9142857142866654,104
38,36,18,4.037325847637269,-1.262756512998832,2.70879596522637,103
39,32,36,3.209361307176241,-1.9693601762386164,4.069186539727973,102
40,33,34,3.535533905932736,-1.6970562748477138,3.1520000000018626,101
