time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis,Remaining Time
1,1,0,1.6431676725154984,-1.7355817665801612,3.25102880658446,130
2,4,0,0.5477225575051664,-0.6085806194502169,-3.333333333338196,129
3,4,1,0.5477225575051664,-0.6085806194502169,-3.333333333338196,128
4,5,0,0.7071067811865477,1.2560739669470264e-13,1.9999999999941735,127
5,5,1,1.140175425099138,0.4047960089109894,-0.1775147929007884,126
6,5,4,1.140175425099138,0.4047960089109894,-0.1775147929007884,125
7,4,4,1.140175425099138,-0.4047960089109202,-0.17751479290109629,124
8,6,5,3.6469165057620936,2.0286991020803247,4.272146531742924,123
9,7,5,5.029910535983716,0.6082192746100356,-2.7000890499773273,122
10,5,5,5.263078946776306,-0.5473728315926832,-3.097003740437137,121
11,6,4,4.219004621945795,-2.029340690520592,4.217270546648524,120
12,14,6,1.4832396974191209,0.5516180692880961,0.8677685950548065,119
13,16,7,2.588435821108951,-1.228195210283388,2.399198039652539,118
14,15,5,3.701351104664347,-0.37863466998537426,-1.8130960626561883,117
15,16,6,4.159326868617083,0.5753487666168259,-2.4601557018279685,116
16,18,14,3.8987177379235853,1.986145592770108,3.9482340720220392,115
17,11,16,2.1908902300206656,1.5309606208044069,1.7447916666658603,114
18,9,15,3.7148351242013415,0.9636255783215137,-1.3011972274734507,113
19,9,16,3.807886552931953,-0.2716684817787339,-2.9464922711057535,112
20,9,18,4.722287581247035,-0.1054060852859312,1.012889863057693,111
21,14,11,4.898979485566353,0.7442026128247549,-1.0468749999999112,110
22,17,9,4.658325879540843,0.9022050164881862,-0.9944997770181416,109
23,16,9,5.81377674149945,-0.07328033426492396,-2.667798746542146,108
24,22,9,5.700877125495688,-1.21438802673281,0.8449704142011143,107
25,26,14,5.594640292279744,-1.8022726334284156,3.4905939633962526,106
26,15,17,8.961026726887939,0.04877910173612078,1.4769800049318818,105
27,28,16,5.78791845139511,1.044378245852122,0.8772555134775418,104
28,29,22,5.7271284253105375,0.027149348387403186,-0.4311049970258563,103
29,25,26,5.49545266561363,-0.24222314499114891,0.8028156659819518,102
30,40,15,3.435112807463523,1.347006314905928,2.0985349037609544,101
31,33,28,1.4832396974191155,0.5516180692902918,0.8677685949187529,100
32,35,29,3.5637059362410826,1.3853578163701505,1.783743567499209,99
33,31,25,8.384509526501828,1.4337555570308878,1.3985378655581246,98
34,33,40,9.83361581515161,0.24324051914253092,-2.9028573750744893,97
35,32,33,10.310189135025594,-0.732773456115948,-1.2425385121192523,96
36,40,35,12.349089035228461,0.756676242954069,1.7411448535341971,95
37,51,31,9.262828941527518,1.0926696568729501,0.5825060720209988,94
38,53,33,9.262828941527518,1.0926696568729501,0.5825060720209988,93
39,57,32,8.660254037844375,0.19245008972987526,0.018666666667494763,92
40,74,40,8.660254037844375,0.19245008972987526,0.018666666667494763,91
