time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis
1,0,0,0.5477225575051661,-0.6085806194501838,-3.333333333333344
2,1,0,0.5477225575051661,-0.6085806194501838,-3.333333333333344
3,0,1,0.5477225575051661,-0.6085806194501838,-3.333333333333344
4,1,0,0.4472135954999579,-2.2360679774997894,4.999999999999986
5,1,0,0.4472135954999579,-2.2360679774997894,4.999999999999986
6,0,1,0.4472135954999579,-2.2360679774997894,4.999999999999986
7,1,0,0.0,,
8,1,0,0.0,,
9,1,0,0.0,,
10,1,0,0.4472135954999579,2.2360679774997756,5.000000000000166
11,1,0,0.4472135954999579,2.2360679774997756,5.000000000000166
12,1,0,0.4472135954999579,2.2360679774997756,5.000000000000166
13,1,0,0.7071067811865476,2.6168207644729593e-15,1.9999999999999691
14,2,0,1.140175425099138,0.4047960089109369,-0.17751479289942415
15,1,0,1.0954451150103321,1.2932338163316435,2.916666666666662
16,1,0,1.140175425099138,0.4047960089109369,-0.17751479289942415
17,0,0,1.140175425099138,-0.40479600891093587,-0.17751479289940994
18,3,1,0.7071067811865477,-1.0467283057891821e-14,2.0000000000001243
19,1,0,0.7071067811865477,-1.0467283057891821e-14,2.0000000000001243
20,2,1,0.4472135954999582,2.2360679774998586,4.999999999998603
21,2,0,0.5477225575051664,0.6085806194501647,-3.3333333333326682
22,2,1,0.8366600265340756,0.5122408325718626,-0.6122448979590173
23,3,0,0.8366600265340753,-0.5122408325718726,-0.6122448979592008
24,2,1,0.8944271909999156,-1.2577882373436335,0.3125000000000758
25,3,1,0.44721359549995754,-2.236067977499618,4.999999999985917
26,4,1,0.0,,
27,4,1,0.0,,
28,4,2,0.0,,
29,4,1,0.44721359549995754,2.2360679774996126,5.000000000009787
30,4,1,0.8944271909999156,1.2577882373435274,0.31250000000165673
31,4,1,1.303840481040529,0.5413870509511212,-1.4878892733572056
32,4,1,1.581138830084189,0.0,-1.2000000000000455
33,5,2,1.1401754250991372,-0.404796008911058,-0.1775147928954297
34,6,2,0.7071067811865462,4.1869132231567545e-14,2.0000000000055422
35,7,2,0.7071067811865462,4.1869132231567545e-14,2.0000000000055422
36,8,4,0.8366600265340745,-0.5122408325717323,-0.6122448979627819
37,7,3,0.8366600265340745,-0.5122408325717323,-0.6122448979627819
38,7,2,0.8366600265340745,-0.5122408325717323,-0.6122448979627819
39,6,4,1.1401754250991372,-0.4047960089108575,-0.17751479290255526
40,8,3,2.3452078799117144,1.7443694974549695,3.322314049587137
41,8,3,2.408318915758459,0.6013638196305278,-0.9453032104634905
42,7,3,2.2360679774997894,0.0,0.1999999999998181
43,9,4,2.408318915758459,0.601363819630624,-0.9453032104670646
44,13,4,2.5495097567963922,7.8607069080288e-14,-2.260355029589077
45,11,8,3.3911649915626336,-0.19231559498461356,-2.2344045368631504
46,10,13,3.507135583350036,-1.1845768280070603,1.5050565139806327
47,15,10,1.8165902124584947,-0.5671631517320752,-2.231404958664779
48,16,10,1.3038404810405293,-1.7143923280145854,2.6643598618029927
49,18,11,2.3874672772626644,2.042831342194505,4.422899353647597
50,19,10,3.03315017762062,0.6701312419838447,-2.9749527410287047
51,19,10,3.361547262794322,-0.4106831960181315,-3.040958571553341
52,19,10,7.4363969770312845,1.4648638656690087,3.048863833307472
53,24,9,11.388590782006352,1.0878070244855425,-0.5072080817546288
54,25,10,10.511898020814321,0.18079061316277623,-1.5101656395238763
55,26,9,9.679876032264051,-0.881142378032167,0.49611091052123396
56,39,14,8.5615419172016,0.5631324880165681,-0.4422759446047391
57,50,11,14.876155417311294,1.0933469340184547,1.2473575097159113
58,40,13,18.074844397670486,-0.020948165574753784,-2.4238854583623435
59,49,13,14.188023118109166,-0.9101384293994058,-1.4273911083196655
60,60,65,8.467585252006637,-1.9867379638484788,4.126853521462341
61,79,54,8.467585252006637,-1.9867379638484788,4.126853521462341
62,81,23,8.467585252006637,-1.9867379638484788,4.126853521462341
63,78,33,14.24078649513433,0.4829933466494116,2.0133369513206056
64,76,30,17.369513522260785,-0.20300045938977396,-1.5078437962119722
65,60,32,18.716303053755045,-1.1378485046447206,-0.2471540848847198
66,79,30,9.87420882906577,-1.415238346309226,1.419329388558199
67,100,27,7.529940238806707,-0.9750610818444507,-0.6421059508565783
68,101,46,10.5688220724923,-0.26784411334280156,-1.8581794020640932
69,103,38,9.823441352194271,-0.2057044284337208,-1.0347123412487018
70,92,127,9.235799911215075,-0.4158343356003687,-1.2023353201850806
71,85,62,10.825894882179504,-0.6665379985396239,-1.8721679926336492
72,78,57,10.295630140987019,-1.9998409382964513,4.084816660701239
73,97,69,2.1908902300207513,-0.8463074238677339,1.7447916558672496
74,101,87,3.2093613071763016,1.6607968306258158,2.7118484356741632
75,103,85,12.461942063739519,-1.882150293053188,3.9409298165896565
76,101,75,12.409673645990875,-0.9693422343229012,0.5083909596934196
77,100,91,11.966620241321294,-0.6300696702350914,0.700674526404157
78,108,90,11.84483009586885,-0.5897716367365248,0.8886212164394571
79,76,69,8.700574693662517,-1.0813297461176805,1.633315824668203
80,90,91,4.898979485566412,0.7442026128203245,-1.0468749994783255
81,95,66,7.348469228349575,-0.182703710238445,-0.5977366255101183
82,99,94,11.865917579353093,-0.5302500516299414,0.6993418291460726
83,89,97,10.98635517357785,-0.8820913935854778,0.8253223223639488
84,87,104,12.421755109484355,-0.7893349517393989,-0.32359465048116104
85,80,101,12.895735729302173,-1.0879150377387388,-0.28638952779298066
86,67,78,12.720062892926295,-2.161987584374788,4.726500845708874
87,96,92,3.3615472627943324,1.1688675578936771,2.0338319364179562
88,97,80,9.027735042633909,-1.4576756119129068,2.8129775302370823
89,93,88,9.148770409186165,-0.39072698141542306,-0.24841236192927005
90,95,88,9.874208829065767,-0.6881434160953117,-1.1368836291932805
91,102,85,12.280065146407008,-0.5206190682255295,-1.5677571079816832
92,78,74,12.992305415129376,-0.5434769836247118,-1.969288369531127
93,86,87,8.927485648266247,-1.5575093544656695,2.177503782199951
94,99,94,3.3615472627942626,-1.463717031995243,2.9736079619780185
95,108,84,1.2247448713913933,1.3608276346687276,2.0000000648409078
96,106,85,2.5099800796021494,-2.017343525798065,4.225245656300738
97,105,84,2.3874672772625973,-1.263910039063639,1.0987996249834115
98,105,89,2.302172886644208,-0.6064819992625162,0.2741188870411844
99,106,90,2.3021728866442275,0.6064819992568828,0.27411892279625033
100,100,87,2.683281572999709,0.998984073278685,1.2384259255118277
101,103,93,2.9664793948381996,0.31028516398826206,-2.270144630436878
102,103,84,3.0331501776205414,-0.763304569721291,-1.8407372442150738
103,101,94,10.545141061171242,-1.8917471934677912,3.536323818643846
104,107,123,10.75639344761987,-2.2119465134330816,4.9138870607581735
105,108,119,10.502380682492884,-2.1279982821442003,4.598987842435093
106,107,119,9.884331034521246,-1.951746582227341,3.916874186152017
107,83,100,9.126883367283707,-1.7646376762782616,3.368218836165596
108,106,116,3.1144823004794375,0.556098444556653,-1.9162503997109408
109,104,98,3.2863353450309876,-0.11551761758941002,0.8590534989839931
110,101,100,8.988882021697712,-1.9297766520459132,3.804038819728684
111,99,110,8.544003745317566,-1.0341306841297135,-0.09513980113347979
112,99,102,7.661592523751236,-0.32619174192580963,-0.192791574381868
113,95,101,5.683308895353226,-0.3480944305164084,1.962733276585806
114,79,97,4.505552130427675,-0.6002446357851362,-3.1262588268275224
115,88,96,3.7416573867741167,-0.7158783265493094,-2.3622448983063484
116,88,108,4.6583258795410005,-0.011871118640045518,-2.064813438198699
117,87,107,9.449867723942052,-1.415615541936914,2.57116129055195
118,80,118,7.854934754662311,-1.6069345809645772,2.8484405905855845
119,82,108,7.436396977031414,-0.9425319295041522,1.4949527319128098
120,77,106,6.457553716385331,-1.6013072491682354,2.546279523162397
121,62,105,6.066300355241412,-0.9312853289319049,1.1166410679970902
122,75,105,3.1304951685000204,0.7692595374562289,-0.247813411733978
123,72,82,3.4928498393148883,1.4831235544506087,2.5812953508207563
124,78,88,8.876936408468985,-1.3339478862416287,2.746173568001119
125,70,86,7.529940238806842,-0.9750610818454778,-0.642105950769866
126,72,91,7.16240183178817,-0.052798998186263525,-1.1947835801240518
127,69,77,5.89915248150127,-0.43304486689578175,-0.43252080856560227
128,54,72,4.979959839195757,-0.8186035700809524,0.7807622268740649
129,61,98,2.683281573000222,0.8126450751592459,-1.539351852165782
130,61,70,2.5099800796027316,0.828438877371314,-1.2169312171620241
131,67,72,10.064790112069042,-1.9867330674582826,4.164976724105958
132,65,74,9.181503144910582,-1.7339777261044023,3.0765821101539026
133,62,77,8.467585252006806,-0.9572973840069144,-0.10976698586463722
134,62,70,7.463243262818339,-0.41423839878870944,0.4975680824192115
135,42,75,5.4129474410900675,-0.9747832524462786,2.4131906021094345
136,57,60,2.880972058178162,0.58966041544978,-2.849470169744707
137,51,63,2.073644135333585,1.9177563393256618,3.877771769217501
138,52,61,9.476286192385896,-1.9960738942747043,4.281749594499497
139,51,61,9.316651759081891,-1.4812930225482248,2.3418685892653066
140,56,66,9.859006035093186,-0.274654353633972,-1.7278870090926581
141,52,55,7.668115805072589,0.25372311539768627,-0.501180063864935
142,32,55,5.000000000000419,0.0,1.6079999999981378
143,46,57,3.7682887362839046,1.3791891923103512,2.520333267268825
144,38,50,1.5165750888116971,-1.1180799331605933,1.4555765613916165
145,40,56,4.505552130428002,-1.6957730967244717,2.72683151737615
146,39,50,4.098780306384372,-1.2648942909790348,1.5880102040666475
147,36,55,3.768288736283937,-1.3791891923116737,2.5203332672189815
148,39,45,3.768288736283937,-1.3791891923116737,2.5203332672189815
149,29,43,3.3466401061369617,-1.912899359136574,3.7643494898564547
150,35,51,1.6733200530694565,-1.088511769205215,0.5357142843986367
151,37,47,3.4351128074641792,-1.2433904445287052,0.547256535480796
152,36,37,7.293833011524506,-1.352208357293623,1.5532958335683642
153,37,42,6.693280212272955,-0.8884176939919132,1.4684311224498952
154,33,35,5.215361924162578,-1.573406116826622,3.378027681662651
155,29,35,4.472135955000119,-2.23606797749979,5.0
156,19,39,4.38178046004188,-2.1835206990821243,4.796549479173045
157,29,43,0.8944271910025795,-1.2577882373535627,0.3125000006370146
158,29,36,1.30384048104237,-0.5413870509539023,-1.4878892729128381
159,29,32,3.9623225512324063,-1.8036130887591315,3.503996105324447
160,28,36,3.7815340802384543,-1.9805481930333768,4.028069832249436
161,27,37,3.5637059362417833,-1.3853578163700224,1.7837435674900561
162,26,35,3.5637059362417833,-1.3853578163700224,1.7837435674900561
163,19,30,3.5071355833507414,-0.9017620080135121,0.7911957168460807
164,28,37,2.167948338869011,0.5594072218904137,-2.3675871435561575
165,24,27,1.8708286933882976,1.14540532248312,1.9999999998845037
166,27,22,5.2630789467767904,-1.5104197683797937,3.0023850173987086
167,24,24,4.5276925690692815,-1.1312497793032699,0.23914336704226002
168,23,27,4.037325847637922,-0.3510189584870376,-0.9496029206963025
169,22,22,3.2093613071770735,0.15428167279280083,1.693844848714536
170,13,15,2.000000000001353,-0.9374999999998628,-0.1875000000056287
171,18,21,1.1401754251014946,-0.40479600890982476,-0.17751479294982056
172,17,17,2.9154759474235896,-1.8158673720971832,3.3840830449834605
173,17,17,4.301162633521965,-0.7540387377977565,-1.6815193571949258
174,15,21,3.7013511046651137,-0.6073931164349129,-1.1737439394740612
175,16,21,3.3615472627951695,-0.14742473703223555,0.1542798966243062
176,10,21,2.549509756797517,-1.2068685239272954,0.5798816568048922
177,7,15,2.5099800796033636,-2.017343525807781,4.225245653817218
178,13,22,0.8366600265374541,-0.5122408325738951,-0.6122448978634919
179,12,16,0.8366600265374711,0.5122408325710399,-0.6122448978587206
180,13,18,3.130495168500628,-1.8383999115304337,3.7505206164096285
181,12,18,2.7748873851033697,-1.8814382337849935,3.7729802664864374
182,11,17,2.5495097567975438,-1.2068685239273025,0.5798816568052617
183,11,16,2.3874672772638967,-1.2639100390556277,1.0987996306552266
184,5,13,2.121320343561042,-0.5237828008788955,-0.9629629629637257
185,10,14,1.7888543820014875,-0.05240784322262995,-2.324218750000752
186,8,11,1.6733200530699366,1.088511769215271,0.535714285714563
187,10,10,2.5099800796034297,0.19604278777443226,1.5041572184429637
188,7,12,1.5165750888123177,-1.7487916903106002,3.724007561437451
189,6,11,1.3416407865021482,-2.2360679774998,5.000000000000526
190,6,37,1.3416407865021482,-2.2360679774998,5.000000000000526
191,3,9,1.3038404810428752,-1.7143923280117481,2.664359861591169
192,6,10,0.4472135955067528,-2.2360679774980836,4.999999999829676
193,6,11,0.4472135955067528,-2.2360679774980836,4.999999999829676
194,6,8,1.3038404810428752,-1.7143923280117481,2.664359861591169
195,5,9,1.2247448713940912,-1.3608276348795194,1.9999999999991662
196,6,8,1.3038404810428752,-1.7143923280117481,2.664359861591169
197,6,9,1.2247448713940912,-1.3608276348795194,1.9999999999991662
198,3,5,1.0954451150131355,-1.2932338163316643,2.916666666667451
199,5,7,0.4472135955067958,2.2360679775000696,5.00000000002608
200,6,7,0.4472135955067958,2.2360679775000696,5.00000000002608
201,5,5,0.8944271910033562,-2.2360679774998267,5.000000000000431
202,5,5,0.8944271910033562,-2.2360679774998267,5.000000000000431
203,5,6,0.8944271910033635,-1.2577882373435951,0.3124999999988323
204,5,6,0.8944271910033635,-1.2577882373435951,0.3124999999988323
205,3,5,0.8366600265377692,-0.5122408325718599,-0.6122448979594198
206,5,5,0.5477225575107965,0.608580619450191,-3.3333333333306796
207,4,7,0.4472135955068684,2.2360679774996126,5.000000000009787
208,5,4,1.0954451150131652,-1.293233816331642,2.9166666666665484
209,4,5,0.8944271910033929,-2.2360679774997854,5.000000000000057
210,4,4,0.8944271910034,-1.2577882373436335,0.3125000000000758
211,4,5,0.8366600265378078,-0.5122408325718726,-0.6122448979592008
212,2,4,0.7071067811909727,-1.0467283057891821e-14,2.0000000000000355
213,4,4,0.7071067811909727,-1.0467283057891821e-14,2.0000000000000355
214,3,4,0.4472135955069688,-2.2360679774998578,5.000000000002285
215,3,3,0.547722557510902,-0.6085806194501933,-3.3333333333321176
216,3,3,0.547722557510902,-0.6085806194501933,-3.3333333333321176
217,2,4,0.547722557510902,-0.6085806194501933,-3.3333333333321176
218,3,4,0.44721359550696904,-2.2360679774998578,5.000000000002285
219,2,4,1.303840481042949,-1.7143923280117708,2.6643598615916986
220,3,3,1.6431676725174256,-0.6085806194501858,-3.3333333333333197
221,3,4,1.6431676725174371,0.608580619450185,-3.333333333333337
222,3,3,1.3416407865022624,2.2360679774997907,4.999999999999997
223,0,0,2.5390634216957556e-06,,
224,0,0,,,
225,0,0,,,
226,0,0,,,
227,0,0,,,
