Index,Remaining Time
0,116.7441429
1,106.9616667
2,121.37
3,135.63
4,132.84
5,133.67
6,6.8
7,73.075
8,70.105
9,115.3773333
10,99.24
11,132.649
12,134.18
13,74.82
14,106.9683333
15,107.7533333
16,87.85166667
17,79.74
18,124.01
19,131.43
20,129.76
21,140.55
22,127.9
23,101.62
24,112.35
25,122.1
26,128.225
27,125.12
28,132.22
29,130.21
30,125.42
31,120.68
32,120.49
33,117.8
34,119.27
35,115.12
36,113.66
37,116
38,121.88
39,111.99
40,112.69
41,111.3
42,106.33
43,105.46
44,103.8
45,123.62
46,112.82
47,107.92
48,113.72
49,109.98
50,87.3
51,82.56
52,82.95
53,82.25
54,81.84
55,76.14
56,76.84
57,73.2
58,69.81
59,73.55
