time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis
101,1,0,,,
101,4,0,,,
101,5,1,,,
101,9,1,,,
101,16,2,5.787918451395113,1.0443782458520927,0.8772555134773855
101,6,6,4.847679857416329,1.5142141700395064,2.0724309642371943
101,16,11,5.319774431308154,0.29292668458925347,-3.0120241231629645
101,20,20,5.727128425310541,-0.3721057749565118,-1.7695939916715193
101,30,36,8.648699324175862,0.22630214995055367,1.3374703308644864
101,33,42,10.908712114635714,-0.33509566908174704,-1.0665207259373648
101,46,58,11.789826122551595,0.5217277229326434,-0.3075927747011242
101,54,78,13.446189051177289,0.20398417158006601,-1.213626507557418
101,70,108,16.303373883954205,0.5892320877401375,-0.6934472702196715
101,74,141,16.964669168598604,-0.21554832632007415,-1.590699567928431
101,63,187,11.480418110852932,-0.39018739322278584,-1.529182718102503
101,66,241,7.602631123499286,-0.7222959251554733,0.5460303396473994
101,68,311,4.147288270665546,0.290186814504982,0.014196863199073798
101,71,385,4.277849927241489,0.1162424507698187,-0.8608796918948217
101,85,448,8.561541917201598,1.6148230428855974,2.894475784924476
101,75,514,7.5166481891864505,1.2361940008844448,1.3170960920961647
101,90,582,9.364827814754515,0.46244018936239845,-2.1063176658113867
101,91,653,8.988882021697675,-0.45559581489798556,-2.497273551645557
101,113,738,13.935566009315863,1.0471173548137016,2.15360278138357
101,111,813,15.937377450509214,-0.1352488398871469,-1.5956196912378406
101,117,903,12.87633488225587,-0.4817095746948002,-3.0975960398102083
101,132,994,14.7037410205702,-0.4212713323210907,1.6825865316299797
101,134,1107,10.830512453249769,0.4554402520377223,-3.0141308163861598
101,159,1218,18.635986692418456,0.8306812303035569,0.6271381159457144
101,168,1335,20.940391591371856,0.2428569108629677,-1.8552700522341017
101,193,1467,25.37124356431896,0.47602574945259823,-0.9130073199749885
101,189,1601,23.985412233272033,-0.5824851102592402,-0.5622873656036577
101,230,1760,27.526351011349007,0.8718918097829207,0.7391688436092091
101,235,1928,28.60943900183984,0.10377153668744374,-2.161701997439652
101,245,2121,25.628109567426048,-0.4169245410635871,-2.9058687639230336
101,223,2310,21.349473061412887,-1.466783295805501,2.6141549192786884
101,215,2540,11.436782764396398,0.11424322297701787,-0.37009370667403374
101,207,2775,15.231546211727636,0.25468920166815173,-1.381391200991575
101,226,3020,14.254823744964176,0.8025671141608554,1.0611757163719606
101,226,3243,8.264381404557419,-1.0114140620341352,-0.5025413256910328
101,216,3458,8.09320702811898,-0.26881463819953716,-1.3191538936322889
101,201,3665,11.21160113453891,-0.26452881543437257,-2.273113048952967
101,207,3891,11.21160113453891,-0.26452881543437257,-2.273113048952967
101,252,4117,20.032473636573062,1.1370274897303887,1.0998872403044153
101,285,4333,35.53449028760643,0.9688718623699566,-0.6732493094672556
101,279,4534,39.32174970674623,-0.22408485584641946,-2.926074800679828
101,292,4741,34.7778665245584,-1.3651277260933687,1.2763366903334834
101,293,4993,16.75410397484752,-1.6458648660155122,2.7746768765014616
101,284,5278,5.856620185738782,-0.08512456977496664,-1.7138267391640423
101,262,5557,12.589678312014248,-1.187693681877884,1.191951358414176
101,260,5849,16.09968943799852,-0.42086829013708993,-3.0886791976035717
101,256,6142,16.431676725154944,0.6959232083527573,-2.261934156362249
101,252,6426,12.45792920191782,1.7092579423060767,3.302821765927902
101,240,6688,8.717797887081048,-1.267823792448289,1.4875346267450607
101,263,6948,8.955445270894955,-1.155345502501591,1.2935553916339952
101,207,7204,22.097511172075265,-1.5165685249914462,2.3007165543476
101,205,7456,26.311594402468042,-0.19784780407899985,-2.717238835832634
101,223,7696,24.306377763870664,0.751096363843743,-0.7106134046151844
101,185,7959,29.236962906567136,1.1030197365296242,1.6838097131767853
101,174,8166,19.34424979160413,-0.16801549056733645,-1.184153130782768
101,146,8371,29.466930617218555,-0.23563933351178268,-0.35281663624404186
101,111,8594,42.07968631061747,-0.11232913399046134,-0.023319768324945755
