time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis,Remaining Time
1,1,0,3.03315017762062,0.6701312419837618,-2.9749527410207954,195
2,1,0,4.266145801540309,0.2859208935943557,-1.3398140321217074,194
3,1,1,4.147288270665544,-0.7612146873213174,0.0141968631692689,193
4,7,0,2.2803508501982757,-0.22769775501235942,-2.507396449704911,192
5,6,1,2.1213203435596424,-0.5237828008789017,-0.9629629629632698,191
6,11,1,1.3038404810405295,-0.5413870509508873,-1.4878892733659974,190
7,11,1,1.5811388300841893,0.0,-1.199999999999818,189
8,9,7,1.5811388300841893,0.0,-1.199999999999818,188
9,8,6,1.9235384061671343,0.5901286563843878,-0.02191380569786953,187
10,10,11,2.588435821108957,0.3632690058584493,-2.4125640454441295,186
11,7,11,2.4899799195977463,1.671214410135825,2.814776274714035,185
12,6,9,2.6076809620810595,2.092235373988062,4.4160899653979255,184
13,5,8,2.6076809620810595,1.7143923280117621,2.664359861591732,183
14,11,10,3.63318042491699,0.2669003066972985,1.0743801652892546,182
15,5,7,2.6832815729997477,-0.16563466499998153,-2.4074074074074545,181
16,5,6,2.6832815729997477,0.8126450751561733,-1.539351851851838,180
17,7,5,2.6076809620810595,2.092235373988049,4.416089965397918,179
18,1,11,0.5477225575051635,0.6085806194501694,-3.3333333333331896,178
19,1,5,0.8366600265340737,-0.5122408325718826,-0.6122448979591925,177
20,2,5,0.8944271909999143,-1.2577882373436315,0.31249999999999406,176
21,1,7,0.8366600265340737,-0.5122408325718826,-0.6122448979591925,175
22,2,1,0.8366600265340737,-0.5122408325718826,-0.6122448979591925,174
23,0,1,0.8366600265340737,-0.5122408325718826,-0.6122448979591925,173
24,2,2,0.8366600265340741,0.5122408325718871,-0.612244897959202,172
25,1,1,0.999999999999999,3.70074341541719e-15,-3.00000000000006,171
26,1,2,0.999999999999999,3.70074341541719e-15,-3.00000000000006,170
27,2,0,0.999999999999999,3.70074341541719e-15,-3.00000000000006,169
28,3,2,1.0954451150103313,0.6085806194501838,-3.3333333333333326,168
29,3,1,0.8944271909999144,1.2577882373436324,0.31250000000000827,167
30,1,1,0.44721359549995443,2.2360679774997756,5.000000000000166,166
31,1,2,3.492849839314596,2.1542838971316844,4.677506046761617,165
32,1,3,3.5637059362410928,0.934619388077365,-1.117862235724478,164
33,2,3,3.209361307176243,0.2994879530685734,-1.0208313695918865,163
34,1,1,3.209361307176243,0.2994879530685734,-1.0208313695918865,162
35,9,1,2.5884358211089578,0.5016571985664537,0.795277344620145,161
36,6,1,2.0736441353327724,-0.23551393640880353,-1.9632233639805403,160
37,5,2,1.6431676725154984,0.5184205276797879,-1.687242798353959,159
38,2,1,2.0,0.9375000000000018,-0.1875000000000012,158
39,4,9,2.0736441353327724,-0.23551393640880353,-1.9632233639805403,157
40,1,6,2.1679483388678804,-0.5594072218898525,-2.3675871435039064,156
41,2,5,1.5165750888103113,-1.7487916903105716,3.724007561436698,155
42,6,2,1.7320508075688783,1.9245008972987645,3.6666666666665697,154
43,5,4,1.7320508075688783,1.9245008972987645,3.6666666666665697,153
44,5,1,1.7320508075688783,1.9245008972987645,3.6666666666665697,152
45,5,2,2.683281572999748,0.8126450751561711,-1.5393518518516973,151
46,9,6,2.3874672772626653,0.20575279705554642,-1.1172668513385406,150
47,6,5,2.549509756796393,-1.4292194378234123e-14,-2.260355029585375,149
48,5,5,3.049590136395382,-0.5429955844662665,-0.0034686090879129474,148
49,11,5,3.049590136395382,0.5429955844662961,-0.00346860908816519,147
50,8,9,3.049590136395382,0.5429955844662961,-0.00346860908816519,146
51,10,6,2.7748873851023212,0.009360389222733705,-2.7036599763849076,145
52,13,5,2.5099800796022262,-0.8284388773693039,-1.2169312169318591,144
53,16,11,2.3874672772626644,-1.2639100390555364,1.0987996306520031,143
54,11,8,2.7748873851023212,-0.926678533058242,0.129870129868389,142
55,16,10,1.7888543819998315,0.05240784322303682,-2.3242187500217306,141
56,17,13,2.0493901531919194,-0.4414786044290918,-3.1632653061237814,140
57,14,16,2.6832815729997477,0.16563466499994084,-2.407407407406641,139
58,18,11,2.82842712474619,0.33145630368116447,-2.9218749999988542,138
59,14,16,2.2803508501982757,1.4926852828589614,2.8180473372809067,137
60,18,17,2.4899799195977463,1.6712144101359145,2.814776274711903,136
61,12,14,0.8366600265340751,0.5122408325743522,-0.6122448981862689,135
62,13,18,4.086563348340511,2.0704629105400643,4.416436587901759,134
63,14,14,4.147288270665545,0.9714949876863719,-0.47255273120699215,133
64,12,18,5.029910535983717,-0.09901244005278995,-2.81257323188915,132
65,13,12,7.778174593052025,0.8287652732163971,1.4098763745644323,131
66,22,13,6.87022561492707,0.3062219026331667,-2.4058280666476803,130
67,18,14,8.526429498916885,-0.38282132486446746,-1.6075371455493948,129
68,23,12,5.80517010948,-0.9752894336382779,2.2503500074816976,128
69,34,13,5.80517010948,-0.9752894336382779,2.2503500074816976,127
70,32,22,5.80517010948,-0.9752894336382779,2.2503500074816976,126
71,39,18,5.890670590009259,-0.6149517836408778,1.0528282769550497,125
72,33,23,4.847679857416334,-1.5142141700394602,2.0724309642360246,124
73,23,34,4.722287581247043,-1.2449313316202992,1.664421162699065,123
74,34,32,9.396807968666804,1.9715858702562432,4.067737264473195,122
75,30,39,10.256705123966462,0.6558818090683382,-2.130632942503935,121
76,35,33,8.876936408468849,0.0956393886931685,-1.5054175577844973,120
77,31,23,8.080841540334754,-0.7720603560272653,1.4708179236353598,119
78,53,34,5.069516742254604,0.9763093000878567,0.6112128873870274,118
79,47,30,4.3243496620879,0.5972892810166085,-0.5155995309991491,117
80,42,35,7.4161984870956426,0.919363448813512,-0.5603305785127818,116
81,44,31,6.870225614927044,0.43389145720540195,-0.07891051422270816,115
82,40,53,8.185352771872433,0.24616231325526736,-1.3559812875922528,114
83,51,47,12.095453691366842,-0.6311721122800787,-0.4302202096924823,113
84,58,42,11.523888232710338,-0.02293559461686628,0.27626696545220614,112
85,48,44,8.602325267042623,0.074618416761218,-1.6842585829070142,111
86,38,40,6.308724118235001,0.6515664160899115,-1.795282947395916,110
87,27,51,6.964194138592059,0.4737043520777213,-2.9994685939005965,109
88,42,58,6.403124237432844,-0.5904130022617513,-3.309339678764514,108
89,30,48,6.723094525588643,0.5518555446497649,-3.1422781737009795,107
90,30,38,7.3006848993775915,0.5227091892095727,-3.1484147573490517,106
91,41,27,7.106335201775947,0.33438299155494366,-2.995588667776568,105
92,42,42,7.231873892705821,1.2191091445245834,1.7240219501405132,104
93,28,30,3.5637059362411048,0.6031940731562975,-0.22506045011660447,103
94,27,30,6.978538528947165,1.0937022845353477,0.3793497463835725,102
95,32,41,6.9137544069774455,0.9912930199601265,0.31695873671770397,101
96,23,42,8.16700679563817,0.3970706333257605,-3.0588079273710673,100
97,24,28,6.978538528947164,-0.4952114460244319,-2.110014377933689,99
98,40,27,5.128352561983238,-1.496934150073867,1.6939669505231645,98
99,28,32,5.540758070878031,-1.2327950083959727,1.1073857547520387,97
100,39,23,7.17635004720366,1.5219895943262955,2.9501366764094143,96
101,35,24,7.79102047231298,1.42668361501042,2.1103870549252988,95
102,40,40,8.228000972289685,1.2203886424299055,1.5987860248854393,94
103,42,28,8.228000972289685,1.2203886424299055,1.5987860248854393,93
104,54,39,9.235799911215057,1.5833692009375098,2.4342332214156976,92
105,35,35,3.492849839314617,0.30976631200629745,-0.6436441816728132,91
