time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis,Remaining Time
1,1,0,0.0,,,200
2,1,0,0.4472135954999579,2.2360679774997756,5.000000000000166,199
3,1,1,0.5477225575051662,0.6085806194501694,-3.3333333333331896,198
4,1,0,0.8366600265340756,-0.5122408325718826,-0.6122448979591925,197
5,1,1,1.0,-9.251858538542974e-16,-2.9999999999999964,196
6,2,1,1.3416407864998738,-0.16563466499998453,-2.4074074074074034,195
7,2,1,1.3416407864998738,-0.16563466499998453,-2.4074074074074034,194
8,0,1,1.3416407864998738,-0.16563466499998453,-2.4074074074074034,193
9,0,1,1.4832396974191326,-0.5516180692881071,0.8677685950413357,192
10,3,2,2.0736441353327724,1.4467284665112414,1.9307733910221476,191
11,2,2,2.7928480087537886,0.3396955171725519,-2.6923076923077076,190
12,2,0,2.6832815729997477,-0.8126450751561681,-1.539351851851927,189
13,4,0,1.6431676725154987,-1.7355817665801607,3.2510288065843675,188
14,7,3,0.8366600265340762,0.5122408325718614,-0.6122448979611216,187
15,8,2,2.345207879911715,-1.7443694974549877,3.3223140495865855,186
16,8,2,2.302172886644268,-1.0326585393989998,1.1285154859381474,185
17,7,4,2.387467277262665,0.2057527970555665,-1.117266851338871,184
18,9,7,2.7748873851023217,0.009360389222812751,-2.703659976387239,183
19,3,8,2.302172886644268,1.0326585393990024,1.1285154859380515,182
20,6,8,2.302172886644268,0.19669686464743014,-2.716269134923587,181
21,4,7,2.8284271247461903,0.3314563036811977,-2.9218750000000306,180
22,9,9,2.6076809620810595,-0.16354400497479687,-1.8122837370242628,179
23,5,3,2.23606797749979,0.0,0.20000000000004547,178
24,9,6,2.23606797749979,0.0,0.20000000000004547,177
25,3,4,2.23606797749979,0.0,0.20000000000004547,176
26,6,9,2.4083189157584584,0.6013638196305321,-0.9453032104636492,175
27,7,5,2.607680962081058,-0.541387050951114,-1.4878892733558071,174
28,5,9,2.7928480087537864,-1.4964964675439667,2.0414201183437632,173
29,9,3,1.1401754250991325,-0.404796008911058,-0.1775147928952201,172
30,11,6,1.9235384061671315,-1.5174736878455588,2.607742878015163,171
31,11,7,3.271085446759224,-0.8485565356690385,-0.6664337496726217,170
32,12,5,3.3615472627943213,0.37909218094008057,-1.9132273474822508,169
33,10,9,2.7748873851023204,0.9266785330582988,0.12987012986998892,168
34,7,11,1.6733200530681502,1.088511769215251,0.5357142857143214,167
35,4,11,0.9999999999999986,-2.9605947323337466e-14,-2.999999999998872,166
36,5,12,1.6733200530681502,-0.5122408325718892,-0.6122448979591036,165
37,3,10,1.4832396974191315,0.5516180692881097,0.8677685950412682,164
38,3,7,2.0736441353327715,0.23551393640880644,-1.9632233639805523,163
39,5,4,2.5884358211089564,-0.3632690058584655,-2.4125640454444017,162
40,1,5,2.5884358211089564,0.3632690058584645,-2.4125640454444537,161
41,2,3,2.5884358211089564,-0.3632690058584623,-2.4125640454444066,160
42,6,3,2.302172886644267,-1.0326585393989998,1.1285154859381474,159
