time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis,Remaining Time
1,3,0,2.1213203435596424,0.0,2.000000000000013,163
2,3,0,3.082207001484488,0.08537969533197945,-0.6592797783933548,162
3,0,1,3.271085446759225,-0.8485565356690465,-0.6664337496724464,161
4,3,0,4.03732584763727,1.0165873732806432,2.0313146900522896,160
5,6,3,3.114482300479487,1.5491313812566696,2.675098310128758,159
6,8,3,3.3615472627943226,0.4106831960184188,-3.040958571540521,158
7,7,0,4.7222875812470395,0.17947522629767815,-0.8693116692475348,157
8,14,3,4.438468204234431,0.36368700274334,-0.8459377979336793,156
9,9,6,4.3931765272977605,0.5944215870917587,-0.29074606029704003,155
10,14,8,5.147815070493501,0.21991378015636678,-0.9334282662869597,154
11,19,7,5.594640292279746,1.1169978678662884,0.03644009839843557,153
12,8,14,3.8470768123342687,0.4584035098700017,-2.9391891891891535,152
13,13,9,4.560701700396551,0.4838577294013584,-2.902644230769329,151
14,6,14,3.8470768123342673,1.5174736878455177,2.607742878013093,150
15,6,19,3.768288736283353,1.3791891923115958,2.5203332672089602,149
16,14,8,3.6742346141747655,1.2600255878514341,2.658436213991687,148
17,4,13,3.6742346141747655,1.2600255878514341,2.658436213991687,147
18,8,6,3.4205262752974135,0.5947003093876813,-2.9826868288407415,146
19,7,6,4.764451699828639,0.11372771819342942,-1.7782219720933863,145
20,7,14,4.037325847637271,-1.0165873732806479,2.031314690052701,144
21,14,4,4.037325847637271,1.24452176190861,0.9473446497797818,143
22,13,8,3.962322551231792,0.1253848671330568,-1.1696214856601337,142
23,18,7,5.718391382198322,0.9235718950945364,0.8750666329999047,141
24,15,7,5.87367006223537,-0.27141512574918086,-0.8229363579075404,140
25,23,14,3.911521443121599,0.45783966654519537,-0.821478918367756,139
26,20,13,4.0373258476372795,0.5789533471149427,-1.2205954307669664,138
27,30,18,3.209361307176254,0.6080512986543383,-0.6814968423011069,137
28,27,15,2.07364413533279,-0.23551393640874796,-1.9632233639505496,136
29,23,23,4.743416490252575,-1.6396995274947155,2.948148148148005,135
30,22,20,4.722287581247044,-1.244931331620313,1.6644211627009728,134
31,25,30,4.969909455915676,-0.4130118661425404,-1.3576685407081186,133
32,26,27,5.319774431308158,0.5918314647823679,-0.8094744596637587,132
33,14,23,4.037325847637274,-0.12308456985909615,-2.711054236139013,131
34,21,22,3.563705936241098,-1.38535781636997,1.7837435674863211,130
35,18,25,3.492849839314601,-0.3097663120058419,-0.6436441816723537,129
36,13,26,3.507135583350041,-0.025499696884703958,-0.8744794765011044,128
37,22,14,2.5099800796022342,0.8284388773690168,-1.2169312169226802,127
38,20,21,3.6742346141747726,1.4616296819076158,1.6707818930060607,126
39,16,18,4.324349662087935,0.597289281017065,-3.0893076725114916,125
40,17,13,5.2725705305856305,-0.016373595147027076,-2.0959060090052226,124
41,17,22,6.6332495807108005,0.02569698959467559,0.5356404958680171,123
42,25,20,4.636809247747848,0.2256965020536399,-1.8939967550010965,122
43,24,16,4.438468204234425,0.20814790723051554,-1.4643510525935153,121
44,29,17,3.3615472627943173,0.14742473703199338,0.1542798966365583,120
45,35,17,3.4928498393145913,0.3097663120061087,-0.6436441816927013,119
46,32,25,2.6076809620810533,0.5413870509511242,-1.4878892733714177,118
47,26,24,4.14728827066554,-1.3415883163287263,2.4479448350463486,117
48,30,29,4.2190046219457935,-0.8309111488745157,0.5813659891391675,116
49,28,35,3.3466401061362987,-0.8884176939919636,1.468431122452042,115
50,26,32,2.588435821108954,-1.2281952102834393,2.3991980396548818,114
