time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis,Remaining Time
1,3,0,2.6457513110645907,0.8099238707340551,0.6734693877551408,200
2,5,0,2.280350850198276,0.22769775501240072,-2.5073964497039305,199
3,7,1,1.949358868961793,-0.08099829095406624,-0.8171745152360627,198
4,5,0,3.0331501776206204,0.22576614034747977,-0.13941398865782992,197
5,10,3,2.489979919597747,0.9198156830980211,0.3173777315292341,196
6,9,5,2.6076809620810595,0.5413870509511212,-1.487889273356899,195
7,7,7,3.286335345030997,0.5184205276797897,-1.687242798354023,194
8,13,5,4.774934554525329,0.20575279705557553,-1.1172668513389432,193
9,7,10,4.604345773288535,1.0326585393990049,1.1285154859379531,192
10,11,9,4.33589667773576,0.42200895686427553,1.4350384789497663,191
11,5,7,4.33589667773576,0.42200895686427553,1.4350384789497663,190
12,17,13,3.1304951684997055,1.8383999115304306,3.7505206164100144,189
13,9,7,0.8366600265340762,-0.5122408325714443,-0.6122448980032876,188
14,11,11,2.9495762407505253,-2.0770565944246555,4.435196195005607,187
15,11,5,2.9495762407505253,-2.0770565944246555,4.435196195005607,186
16,10,17,2.8809720581775866,-1.0831350893714606,-0.06241834809103253,185
17,10,9,3.0495901363953806,0.16219348626914964,-2.5008671522718893,184
18,4,11,3.0495901363953806,0.16219348626914964,-2.5008671522718893,183
19,11,11,2.509980079602227,-0.8284388773693565,-1.2169312169309119,182
20,7,10,2.16794833886788,-0.9127170462413591,-0.737890448166206,181
21,5,10,5.1283525619832355,1.2745070846837705,2.786942127253539,180
22,10,4,4.086563348340513,2.070462910540066,4.4164365879017495,179
23,10,11,3.9623225512317934,1.8036130887589816,3.5039961053187576,178
24,9,7,6.284902544988271,0.8156979749143463,-1.230251562249503,177
25,19,5,5.683308895353133,1.001792891578988,-0.9357896653855041,176
26,11,10,5.612486080160915,2.191824999810894,4.842025699168471,175
27,12,10,5.357238094391553,1.84256886952753,3.374691935072709,174
28,24,9,5.504543577809159,0.6001642672708571,-1.5557298304089346,173
29,12,19,3.5637059362410994,0.6031940731563629,-0.22506045012197973,172
30,11,11,6.4420493633625675,0.9818771710742843,1.0825954420088841,171
31,15,12,5.830951894845305,0.26481399176416864,-2.6496539792387233,170
32,20,24,4.774934554525335,-0.20575279705560245,-1.1172668513385489,169
33,16,12,4.669047011971507,-1.1828828807368739,1.2124400303020149,168
34,28,11,5.890670590009261,-1.5444731749835319,2.4680048833557273,167
35,26,15,5.244044240850762,-0.9534625892455924,0.25454545454535804,166
36,22,20,4.549725266430935,-1.1180799331494444,1.4555765595482555,165
37,25,16,4.449719092257401,-0.5516180692880356,0.8677685950392847,164
38,13,28,4.449719092257401,-0.5516180692880356,0.8677685950392847,163
39,19,26,2.489979919597757,0.9198156830983244,0.31737773151224385,162
40,22,22,3.898717737923596,0.8049205163563622,0.000865650966787257,161
41,19,25,4.335896677735768,0.9127170462414858,-0.7378904481710992,160
42,25,13,3.898717737923596,0.8049205163563622,0.000865650966787257,159
43,21,19,4.969909455915681,0.41301186614259255,-2.8328607254674085,158
44,29,22,4.6368092477478635,-0.22569650205376343,-1.8939967550016863,157
45,19,19,4.1593268686170966,0.05003032753171724,-0.174746900995468,156
46,22,25,2.880972058177608,0.664936213166715,1.853679779347291,155
47,30,21,3.209361307176261,0.15428167279304966,1.6938448487012678,154
48,25,29,5.594640292279758,1.5384418486869984,3.2333697394077276,153
